lga_2016,state,industry_people,industry_type,industry_type_full,lga_total_industry_people
61810,6,182,hospitality,accommodation_and_food_services,2561
62010,6,27,hospitality,accommodation_and_food_services,433
62210,6,131,hospitality,accommodation_and_food_services,2185
62410,6,312,hospitality,accommodation_and_food_services,1648
62610,6,1565,hospitality,accommodation_and_food_services,19256
62810,6,2619,hospitality,accommodation_and_food_services,24259
63010,6,351,hospitality,accommodation_and_food_services,6381
63210,6,238,hospitality,accommodation_and_food_services,2445
63410,6,42,hospitality,accommodation_and_food_services,797
63610,6,1080,hospitality,accommodation_and_food_services,16335
63810,6,242,hospitality,accommodation_and_food_services,4487
64010,6,2346,hospitality,accommodation_and_food_services,27538
64210,6,558,hospitality,accommodation_and_food_services,8464
