DATAFLOW,MEASURE,REGIONTYPE,LGA_2018,FREQUENCY,TIME_PERIOD,OBS_VALUE,UNIT_MEASURE,OBS_STATUS,OBS_COMMENT
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2013,1066,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2014,1066,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2015,1060,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2016,1038,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2017,1018,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57350,A,2018,1007,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2001,1510,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2002,1543,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2003,1562,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2004,1589,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2005,1733,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2006,2045,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2007,2110,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2008,2220,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2009,2171,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2010,2158,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2011,2187,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2012,2154,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2013,2118,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2014,2036,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2015,1906,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2016,1764,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2017,1679,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57420,A,2018,1598,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2001,74185,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2002,75802,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2003,77718,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2004,80168,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2005,82936,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2006,87033,PSNS,,
ABS:ABS_ERP_LGA2018(1.0.0),ERP,LGA2018,57490,A,2007,92235,PSNS,,
